date,year,month,region,satellite,time_of_day,layer,image_path,avg_warmth_score,monthly_baseline,anomaly_score,max_warmth_score,warm_area_percent,valid_pixel_count,warmth_rank
2010-01-01,2010,1,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_01_01.png,-0.3488016426563263,-0.36958360991307665,0.020781967256750355,1.0,16.24596233480362,355713,5
2010-02-01,2010,2,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_02_01.png,-0.4239390790462494,-0.40947475497211727,-0.014464324074132118,1.0,8.281404661207596,355616,7
2010-03-01,2010,3,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_03_01.png,-0.43719929456710815,-0.38595800421067644,-0.05124129035643171,1.0,5.81296487108889,355206,8
2010-04-01,2010,4,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_04_01.png,-0.4096561074256897,-0.3376869335770607,-0.071969173848629,1.0,8.272504711811788,354959,9
2010-05-01,2010,5,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_05_01.png,-0.3775942623615265,-0.2550967016390392,-0.1224975607224873,1.0,10.334241778104127,354085,12
2010-06-01,2010,6,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_06_01.png,-0.26679494976997375,-0.14429552351626065,-0.1224994262537131,1.0,24.33475106023092,326344,12
2010-07-01,2010,7,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_07_01.png,0.04024842754006386,0.1661469598433801,-0.12589853230331624,1.0,48.19185679124912,346571,12
2010-08-01,2010,8,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_08_01.png,-0.0014883108669891953,0.3679764809868565,-0.3694647918538457,1.0,47.566825590550025,341673,14
2010-09-01,2010,9,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_09_01.png,0.017860138788819313,0.41294217655169113,-0.3950820377628718,1.0,47.97965717954567,355113,14
2010-10-01,2010,10,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_10_01.png,0.027361145243048668,0.28208281830526316,-0.2547216730622145,1.0,45.63110607607147,356612,13
2010-11-01,2010,11,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_11_01.png,-0.14615865051746368,0.06532134280468409,-0.21147999332214779,1.0,34.345673124132034,356435,12
2010-12-01,2010,12,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2010_12_01.png,-0.3824462592601776,-0.20276084456306237,-0.17968541469711524,1.0,11.653143987684652,355329,12
2011-01-01,2011,1,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_01_01.png,-0.4894086718559265,-0.36958360991307665,-0.11982506194284986,0.6470588445663452,4.147227125046374,355804,13
2011-02-01,2011,2,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_02_01.png,-0.5101104378700256,-0.40947475497211727,-0.10063568289790836,0.772549033164978,3.5843191312787472,355465,12
2011-03-01,2011,3,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_03_01.png,-0.4727252125740051,-0.38595800421067644,-0.08676720836332869,0.8588235378265381,3.632431030058289,354611,12
2011-04-01,2011,4,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_04_01.png,-0.42757248878479004,-0.3376869335770607,-0.08988555520772934,1.0,9.778360906828242,355172,11
2011-05-01,2011,5,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_05_01.png,-0.3693769574165344,-0.2550967016390392,-0.11428025577749523,1.0,12.863521723044249,354071,11
2011-06-01,2011,6,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_06_01.png,-0.33480608463287354,-0.14429552351626065,-0.19051056111661288,1.0,14.832593799726624,338727,13
2011-07-01,2011,7,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_07_01.png,-0.07157853245735168,0.1661469598433801,-0.23772549230073178,1.0,44.84064410614738,341186,13
2011-08-01,2011,8,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_08_01.png,0.08582774549722672,0.3679764809868565,-0.28214873548962977,1.0,50.75054624697898,345082,13
2011-09-01,2011,9,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_09_01.png,0.21038667857646942,0.41294217655169113,-0.2025554979752217,1.0,57.33660227751526,353631,12
2011-10-01,2011,10,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_10_01.png,0.1599477380514145,0.28208281830526316,-0.12213508025384867,1.0,55.87256500327747,356982,10
2011-11-01,2011,11,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_11_01.png,-0.15102630853652954,0.06532134280468409,-0.21634765134121364,1.0,33.23454163183626,355293,13
2011-12-01,2011,12,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2011_12_01.png,-0.43496039509773254,-0.20276084456306237,-0.23219955053467017,0.7333333492279053,7.465092053651401,356151,13
2012-01-01,2012,1,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_01_01.png,-0.5146707892417908,-0.36958360991307665,-0.14508717932871412,0.9882352948188782,1.582585938684623,356126,14
2012-02-01,2012,2,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_02_01.png,-0.5268108248710632,-0.40947475497211727,-0.11733606989894596,0.772549033164978,1.3442762928758412,356028,14
2012-03-01,2012,3,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_03_01.png,-0.48263072967529297,-0.38595800421067644,-0.09667272546461653,0.8980392217636108,3.5332077607250554,355173,14
2012-04-01,2012,4,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_04_01.png,-0.44271570444107056,-0.3376869335770607,-0.10502877086400986,1.0,6.773295142564405,353314,14
2012-05-01,2012,5,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_05_01.png,-0.3352658450603485,-0.2550967016390392,-0.08016914342130932,1.0,16.35161963585767,353598,10
2012-06-01,2012,6,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_06_01.png,-0.23737545311450958,-0.14429552351626065,-0.09307992959824893,1.0,27.423497719027466,351166,9
2012-07-01,2012,7,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_07_01.png,-0.09143346548080444,0.1661469598433801,-0.25758042532418457,1.0,43.275294600503564,253394,14
2012-08-01,2012,8,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_08_01.png,0.09280367195606232,0.3679764809868565,-0.27517280903079416,1.0,51.631294459364874,324313,12
2012-09-01,2012,9,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_09_01.png,0.10681761056184769,0.41294217655169113,-0.30612456598984344,1.0,51.95138082653731,352289,13
2012-10-01,2012,10,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_10_01.png,0.14551739394664764,0.28208281830526316,-0.13656542435861552,1.0,53.65636247435164,356748,11
2012-11-01,2012,11,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_11_01.png,-0.005888053216040134,0.06532134280468409,-0.07120939602072422,1.0,42.753704472287964,356596,9
2012-12-01,2012,12,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2012_12_01.png,-0.229826420545578,-0.20276084456306237,-0.027065575982515633,1.0,26.15698971876985,355794,8
2013-01-01,2013,1,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_01_01.png,-0.4505840539932251,-0.36958360991307665,-0.08100044408014845,0.8156862854957581,3.780645415611951,355151,12
2013-02-01,2013,2,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_02_01.png,-0.5222446918487549,-0.40947475497211727,-0.11276993687663761,0.8588235378265381,0.7607297590035202,354528,13
2013-03-01,2013,3,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_03_01.png,-0.4583762586116791,-0.38595800421067644,-0.07241825440100264,1.0,3.3661449451545185,355362,10
2013-04-01,2013,4,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_04_01.png,-0.3704897463321686,-0.3376869335770607,-0.03280281275510788,1.0,10.749366600728905,352858,7
2013-05-01,2013,5,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_05_01.png,-0.26530197262763977,-0.2550967016390392,-0.010205270988600579,1.0,20.76966402883776,355090,8
2013-06-01,2013,6,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_06_01.png,-0.1770492047071457,-0.14429552351626065,-0.03275368119088504,1.0,32.53441857928829,348431,8
2013-07-01,2013,7,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_07_01.png,0.20946453511714935,0.1661469598433801,0.043317575273769254,1.0,59.86833434791613,318686,5
2013-08-01,2013,8,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_08_01.png,0.3623359501361847,0.3679764809868565,-0.005640530850671788,1.0,67.96439141747774,346658,8
2013-09-01,2013,9,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_09_01.png,0.5084947943687439,0.41294217655169113,0.09555261781705277,1.0,77.8629852547105,356385,7
2013-10-01,2013,10,California Coast,Aqua,Day,MODIS_Aqua_L3_SST_Thermal_4km_Day_Monthly,modis_sst_images/california_coast_aqua_day_2013_10_01.png,0.21275471150875092,0.28208281830526316,-0.06932810679651225,1.0,58.2820415666793,356295,9
